SUMMARY_LOG,LOWER_LIMIT,UPPER_LIMIT,SPOT_METRIC_LIV_LOG,DISTANCE_LIV_TEMPERATURE,MIN_ABNORMAL_RANGE,MAX_ABNORMAL_RANGE,INCLUDE_OK2SEND
EOLR_alignment_20cm_dist_68F_range,,,EOLR_alignment_20cm_dist_68F_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_68F_stDev,,,EOLR_alignment_20cm_dist_68F_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_min,,,EOLR_alignment_20cm_dist_BL_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_min_x,,,EOLR_alignment_20cm_dist_BL_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_min_y,,,EOLR_alignment_20cm_dist_BL_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_min_fitError,,,EOLR_alignment_20cm_dist_BL_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_max,,,EOLR_alignment_20cm_dist_BL_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_max_x,,,EOLR_alignment_20cm_dist_BL_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_max_y,,,EOLR_alignment_20cm_dist_BL_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_max_fitError,,,EOLR_alignment_20cm_dist_BL_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_range,,,EOLR_alignment_20cm_dist_BL_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BL_stDev,,,EOLR_alignment_20cm_dist_BL_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_min,,,EOLR_alignment_20cm_dist_TL_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_min_x,,,EOLR_alignment_20cm_dist_TL_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_min_y,,,EOLR_alignment_20cm_dist_TL_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_min_fitError,,,EOLR_alignment_20cm_dist_TL_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_max,,,EOLR_alignment_20cm_dist_TL_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_max_x,,,EOLR_alignment_20cm_dist_TL_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_max_y,,,EOLR_alignment_20cm_dist_TL_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_max_fitError,,,EOLR_alignment_20cm_dist_TL_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_range,,,EOLR_alignment_20cm_dist_TL_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TL_stDev,,,EOLR_alignment_20cm_dist_TL_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_min,,,EOLR_alignment_20cm_dist_BR_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_min_x,,,EOLR_alignment_20cm_dist_BR_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_min_y,,,EOLR_alignment_20cm_dist_BR_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_min_fitError,,,EOLR_alignment_20cm_dist_BR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_max,,,EOLR_alignment_20cm_dist_BR_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_max_x,,,EOLR_alignment_20cm_dist_BR_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_max_y,,,EOLR_alignment_20cm_dist_BR_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_max_fitError,,,EOLR_alignment_20cm_dist_BR_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_range,,,EOLR_alignment_20cm_dist_BR_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_BR_stDev,,,EOLR_alignment_20cm_dist_BR_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_min,,,EOLR_alignment_20cm_dist_TR_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_min_x,,,EOLR_alignment_20cm_dist_TR_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_min_y,,,EOLR_alignment_20cm_dist_TR_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_min_fitError,,,EOLR_alignment_20cm_dist_TR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_max,,,EOLR_alignment_20cm_dist_TR_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_max_x,,,EOLR_alignment_20cm_dist_TR_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_max_y,,,EOLR_alignment_20cm_dist_TR_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_max_fitError,,,EOLR_alignment_20cm_dist_TR_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_range,,,EOLR_alignment_20cm_dist_TR_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_TR_stDev,,,EOLR_alignment_20cm_dist_TR_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_min,,,EOLR_alignment_20cm_dist_diagTLBR_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_min_x,,,EOLR_alignment_20cm_dist_diagTLBR_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_min_y,,,EOLR_alignment_20cm_dist_diagTLBR_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_min_fitError,,,EOLR_alignment_20cm_dist_diagTLBR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_max,,,EOLR_alignment_20cm_dist_diagTLBR_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_max_x,,,EOLR_alignment_20cm_dist_diagTLBR_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_max_y,,,EOLR_alignment_20cm_dist_diagTLBR_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_max_fitError,,,EOLR_alignment_20cm_dist_diagTLBR_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_range,,,EOLR_alignment_20cm_dist_diagTLBR_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagTLBR_stDev,,,EOLR_alignment_20cm_dist_diagTLBR_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_min,,,EOLR_alignment_20cm_dist_diagBLTR_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_min_x,,,EOLR_alignment_20cm_dist_diagBLTR_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_min_y,,,EOLR_alignment_20cm_dist_diagBLTR_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_min_fitError,,,EOLR_alignment_20cm_dist_diagBLTR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_max,,,EOLR_alignment_20cm_dist_diagBLTR_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_max_x,,,EOLR_alignment_20cm_dist_diagBLTR_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_max_y,,,EOLR_alignment_20cm_dist_diagBLTR_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_max_fitError,,,EOLR_alignment_20cm_dist_diagBLTR_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_range,,,EOLR_alignment_20cm_dist_diagBLTR_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_diagBLTR_stDev,,,EOLR_alignment_20cm_dist_diagBLTR_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_min,,,EOLR_alignment_20cm_dist_horiz_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_min_x,,,EOLR_alignment_20cm_dist_horiz_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_min_y,,,EOLR_alignment_20cm_dist_horiz_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_min_fitError,,,EOLR_alignment_20cm_dist_horiz_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_max,,,EOLR_alignment_20cm_dist_horiz_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_max_x,,,EOLR_alignment_20cm_dist_horiz_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_max_y,,,EOLR_alignment_20cm_dist_horiz_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_max_fitError,,,EOLR_alignment_20cm_dist_horiz_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_range,,,EOLR_alignment_20cm_dist_horiz_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_horiz_stDev,,,EOLR_alignment_20cm_dist_horiz_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_min,,,EOLR_alignment_20cm_dist_vert_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_min_x,,,EOLR_alignment_20cm_dist_vert_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_min_y,,,EOLR_alignment_20cm_dist_vert_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_min_fitError,,,EOLR_alignment_20cm_dist_vert_min_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_max,,,EOLR_alignment_20cm_dist_vert_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_max_x,,,EOLR_alignment_20cm_dist_vert_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_max_y,,,EOLR_alignment_20cm_dist_vert_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_max_fitError,,,EOLR_alignment_20cm_dist_vert_max_fitError,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_range,,,EOLR_alignment_20cm_dist_vert_range,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_vert_stDev,,,EOLR_alignment_20cm_dist_vert_stDev,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_min,,,EOLR_alignment_20cm_dist_ALL_min,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_min_x,,,EOLR_alignment_20cm_dist_ALL_min_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_min_y,,,EOLR_alignment_20cm_dist_ALL_min_y,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_max,,,EOLR_alignment_20cm_dist_ALL_max,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_max_x,,,EOLR_alignment_20cm_dist_ALL_max_x,Rx,None,None,TRUE
EOLR_alignment_20cm_dist_ALL_max_y,,,EOLR_alignment_20cm_dist_ALL_max_y,Rx,None,None,TRUE
EOLR_alignment_20cm_rotation,,,EOLR_alignment_20cm_rotation,Rx,None,None,TRUE
EOLR_alignment_20cm_tilt_X,,,EOLR_alignment_20cm_tilt_X,Rx,None,None,TRUE
EOLR_alignment_20cm_tilt_Y,,,EOLR_alignment_20cm_tilt_Y,Rx,None,None,TRUE
EOLR_alignment_60cm_rotation,-0.7,0.7,EOLR_alignment_60cm_rotation,Rx,None,None,TRUE
EOLR_alignment_60cm_tilt_X,-0.55,0.55,EOLR_alignment_60cm_tilt_X,Rx,None,None,TRUE
EOLR_alignment_60cm_tilt_Y,-0.72,0.72,EOLR_alignment_60cm_tilt_Y,Rx,None,None,TRUE
EOLR_alignment_60cm_distCenter_X,,,EOLR_alignment_60cm_distCenter_X,Rx,None,None,TRUE
EOLR_alignment_60cm_distCenter_Y,,,EOLR_alignment_60cm_distCenter_Y,Rx,None,None,TRUE
EOLR_alignment_60cm_EFL,2.55,2.68,EOLR_alignment_60cm_EFL,Rx,None,None,TRUE
EOLR_alignment_60cm_EFL_10bit_NVM_DEC,,,EOLR_alignment_60cm_EFL_10bit_NVM_DEC,Rx,None,None,TRUE
EOLR_alignment_60cm_PFL,,,EOLR_alignment_60cm_PFL,Rx,None,None,TRUE
EOLR_alignment_60cm_vfov_PFL,,,EOLR_alignment_60cm_vfov_PFL,Rx,None,None,TRUE
EOLR_alignment_60cm_hfov_PFL,,,EOLR_alignment_60cm_hfov_PFL,Rx,None,None,TRUE
EOLR_alignment_60cm_dfov_PFL,,,EOLR_alignment_60cm_dfov_PFL,Rx,None,None,TRUE
EOLR_alignment_60cm_dfov_DOTS,81.5,83.5,EOLR_alignment_60cm_dfov_DOTS,Rx,None,None,TRUE
EOLR_alignment_60cm_hfov_DOTS,60.91,62.91,EOLR_alignment_60cm_hfov_DOTS,Rx,None,None,TRUE
EOLR_alignment_60cm_vfov_DOTS,69.96,71.96,EOLR_alignment_60cm_vfov_DOTS,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_min,-2,2,EOLR_alignment_60cm_dist_30F_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_min_x,,,EOLR_alignment_60cm_dist_30F_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_min_y,,,EOLR_alignment_60cm_dist_30F_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_min_fitError,,,EOLR_alignment_60cm_dist_30F_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_max,-2,2,EOLR_alignment_60cm_dist_30F_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_max_x,,,EOLR_alignment_60cm_dist_30F_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_max_y,,,EOLR_alignment_60cm_dist_30F_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_max_fitError,,,EOLR_alignment_60cm_dist_30F_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_range,,,EOLR_alignment_60cm_dist_30F_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_30F_stDev,,,EOLR_alignment_60cm_dist_30F_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_min,-2,2,EOLR_alignment_60cm_dist_58F_min,Rx,None,None,TRUE
