SUMMARY_LOG,LOWER_LIMIT,UPPER_LIMIT,SPOT_METRIC_LIV_LOG,DISTANCE_LIV_TEMPERATURE,MIN_ABNORMAL_RANGE,MAX_ABNORMAL_RANGE,INCLUDE_OK2SEND
EOLR_line_mono_dark_D_h_max,0.01,2.2,EOLR_line_mono_dark_D_h_max,Rx,None,None,TRUE
EOLR_line_mono_dark_D_h_y,,,EOLR_line_mono_dark_D_h_y,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_B_h_R_max,,,EOLR_lineStep_quad_dark_B_h_R_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_B_h_Gr_max,,,EOLR_lineStep_quad_dark_B_h_Gr_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_B_h_Gb_max,,,EOLR_lineStep_quad_dark_B_h_Gb_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_B_h_B_max,,,EOLR_lineStep_quad_dark_B_h_B_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_D_h_R_max,,,EOLR_lineStep_quad_dark_D_h_R_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_D_h_Gr_max,,,EOLR_lineStep_quad_dark_D_h_Gr_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_D_h_Gb_max,,,EOLR_lineStep_quad_dark_D_h_Gb_max,Rx,None,None,TRUE
EOLR_lineStep_quad_dark_D_h_B_max,,,EOLR_lineStep_quad_dark_D_h_B_max,Rx,None,None,TRUE
EOLR_line_mono_light_v_max_BB,0.01,4,EOLR_line_mono_light_v_max_BB,Rx,None,None,TRUE
EOLR_line_mono_light_v_x_BB,,,EOLR_line_mono_light_v_x_BB,Rx,None,None,TRUE
EOLR_line_mono_light_h_max_BB,0.01,2.5,EOLR_line_mono_light_h_max_BB,Rx,None,None,TRUE
EOLR_line_mono_light_h_y_BB,,,EOLR_line_mono_light_h_y_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_R_max_BB,0.01,1.35,EOLR_line_quad_light_v_R_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_R_x_BB,,,EOLR_line_quad_light_v_R_x_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_R_max_BB,0.01,1,EOLR_line_quad_light_h_R_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_R_y_BB,,,EOLR_line_quad_light_h_R_y_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_Gr_max_BB,0.01,1.2,EOLR_line_quad_light_v_Gr_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_Gr_x_BB,,,EOLR_line_quad_light_v_Gr_x_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_Gr_max_BB,0.01,1,EOLR_line_quad_light_h_Gr_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_Gr_y_BB,,,EOLR_line_quad_light_h_Gr_y_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_Gb_max_BB,0.01,1.2,EOLR_line_quad_light_v_Gb_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_Gb_x_BB,,,EOLR_line_quad_light_v_Gb_x_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_Gb_max_BB,0.01,1,EOLR_line_quad_light_h_Gb_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_Gb_y_BB,,,EOLR_line_quad_light_h_Gb_y_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_B_max_BB,0.01,1.43,EOLR_line_quad_light_v_B_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_v_B_x_BB,,,EOLR_line_quad_light_v_B_x_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_B_max_BB,0.01,1,EOLR_line_quad_light_h_B_max_BB,Rx,None,None,TRUE
EOLR_line_quad_light_h_B_y_BB,,,EOLR_line_quad_light_h_B_y_BB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_0_NB,60,128,EOLR_ls_gridScaled_0_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_0_NB,,,EOLR_ls_gridScaled_1_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_0_NB,,,EOLR_ls_gridScaled_2_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_0_NB,,,EOLR_ls_gridScaled_3_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_0_NB,,,EOLR_ls_gridScaled_4_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_0_NB,,,EOLR_ls_gridScaled_5_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_0_NB,,,EOLR_ls_gridScaled_6_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_0_NB,,,EOLR_ls_gridScaled_7_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_0_NB,60,128,EOLR_ls_gridScaled_8_0_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_1_NB,,,EOLR_ls_gridScaled_0_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_1_NB,,,EOLR_ls_gridScaled_1_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_1_NB,,,EOLR_ls_gridScaled_2_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_1_NB,,,EOLR_ls_gridScaled_3_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_1_NB,,,EOLR_ls_gridScaled_4_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_1_NB,,,EOLR_ls_gridScaled_5_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_1_NB,,,EOLR_ls_gridScaled_6_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_1_NB,,,EOLR_ls_gridScaled_7_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_1_NB,,,EOLR_ls_gridScaled_8_1_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_2_NB,,,EOLR_ls_gridScaled_0_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_2_NB,,,EOLR_ls_gridScaled_1_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_2_NB,,,EOLR_ls_gridScaled_2_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_2_NB,,,EOLR_ls_gridScaled_3_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_2_NB,,,EOLR_ls_gridScaled_4_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_2_NB,,,EOLR_ls_gridScaled_5_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_2_NB,,,EOLR_ls_gridScaled_6_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_2_NB,,,EOLR_ls_gridScaled_7_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_2_NB,,,EOLR_ls_gridScaled_8_2_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_3_NB,,,EOLR_ls_gridScaled_0_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_3_NB,,,EOLR_ls_gridScaled_1_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_3_NB,,,EOLR_ls_gridScaled_2_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_3_NB,,,EOLR_ls_gridScaled_3_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_3_NB,,,EOLR_ls_gridScaled_4_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_3_NB,,,EOLR_ls_gridScaled_5_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_3_NB,,,EOLR_ls_gridScaled_6_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_3_NB,,,EOLR_ls_gridScaled_7_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_3_NB,,,EOLR_ls_gridScaled_8_3_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_4_NB,,,EOLR_ls_gridScaled_0_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_4_NB,,,EOLR_ls_gridScaled_1_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_4_NB,,,EOLR_ls_gridScaled_2_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_4_NB,,,EOLR_ls_gridScaled_3_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_4_NB,,,EOLR_ls_gridScaled_4_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_4_NB,,,EOLR_ls_gridScaled_5_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_4_NB,,,EOLR_ls_gridScaled_6_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_4_NB,,,EOLR_ls_gridScaled_7_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_4_NB,,,EOLR_ls_gridScaled_8_4_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_5_NB,,,EOLR_ls_gridScaled_0_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_5_NB,,,EOLR_ls_gridScaled_1_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_5_NB,,,EOLR_ls_gridScaled_2_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_5_NB,,,EOLR_ls_gridScaled_3_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_5_NB,,,EOLR_ls_gridScaled_4_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_5_NB,,,EOLR_ls_gridScaled_5_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_5_NB,,,EOLR_ls_gridScaled_6_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_5_NB,,,EOLR_ls_gridScaled_7_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_5_NB,,,EOLR_ls_gridScaled_8_5_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_6_NB,,,EOLR_ls_gridScaled_0_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_6_NB,,,EOLR_ls_gridScaled_1_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_6_NB,,,EOLR_ls_gridScaled_2_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_6_NB,,,EOLR_ls_gridScaled_3_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_6_NB,,,EOLR_ls_gridScaled_4_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_6_NB,,,EOLR_ls_gridScaled_5_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_6_NB,,,EOLR_ls_gridScaled_6_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_6_NB,,,EOLR_ls_gridScaled_7_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_6_NB,,,EOLR_ls_gridScaled_8_6_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_7_NB,,,EOLR_ls_gridScaled_0_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_7_NB,,,EOLR_ls_gridScaled_1_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_7_NB,,,EOLR_ls_gridScaled_2_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_7_NB,,,EOLR_ls_gridScaled_3_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_7_NB,,,EOLR_ls_gridScaled_4_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_7_NB,,,EOLR_ls_gridScaled_5_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_7_NB,,,EOLR_ls_gridScaled_6_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_7_NB,,,EOLR_ls_gridScaled_7_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_7_NB,,,EOLR_ls_gridScaled_8_7_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_0_8_NB,60,128,EOLR_ls_gridScaled_0_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_1_8_NB,,,EOLR_ls_gridScaled_1_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_2_8_NB,,,EOLR_ls_gridScaled_2_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_3_8_NB,,,EOLR_ls_gridScaled_3_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_4_8_NB,,,EOLR_ls_gridScaled_4_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_5_8_NB,,,EOLR_ls_gridScaled_5_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_6_8_NB,,,EOLR_ls_gridScaled_6_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_7_8_NB,,,EOLR_ls_gridScaled_7_8_NB,Rx,None,None,TRUE
EOLR_ls_gridScaled_8_8_NB,60,128,EOLR_ls_gridScaled_8_8_NB,Rx,None,None,TRUE
EOLR_ls_mono_chksum_NB,,,EOLR_ls_mono_chksum_NB,Rx,None,None,TRUE
EOLR_ls_corner_delta_NB,0,10,EOLR_ls_corner_delta_NB,Rx,None,None,TRUE
EOLR_shadingMetric_OQC,,,EOLR_shadingMetric_OQC,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_0_NB,,,EOLR_ls_R_gridScaled_0_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_0_NB,,,EOLR_ls_R_gridScaled_1_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_0_NB,,,EOLR_ls_R_gridScaled_2_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_0_NB,,,EOLR_ls_R_gridScaled_3_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_0_NB,,,EOLR_ls_R_gridScaled_4_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_0_NB,,,EOLR_ls_R_gridScaled_5_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_0_NB,,,EOLR_ls_R_gridScaled_6_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_0_NB,,,EOLR_ls_R_gridScaled_7_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_0_NB,,,EOLR_ls_R_gridScaled_8_0_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_1_NB,,,EOLR_ls_R_gridScaled_0_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_1_NB,,,EOLR_ls_R_gridScaled_1_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_1_NB,,,EOLR_ls_R_gridScaled_2_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_1_NB,,,EOLR_ls_R_gridScaled_3_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_1_NB,,,EOLR_ls_R_gridScaled_4_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_1_NB,,,EOLR_ls_R_gridScaled_5_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_1_NB,,,EOLR_ls_R_gridScaled_6_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_1_NB,,,EOLR_ls_R_gridScaled_7_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_1_NB,,,EOLR_ls_R_gridScaled_8_1_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_2_NB,,,EOLR_ls_R_gridScaled_0_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_2_NB,,,EOLR_ls_R_gridScaled_1_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_2_NB,,,EOLR_ls_R_gridScaled_2_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_2_NB,,,EOLR_ls_R_gridScaled_3_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_2_NB,,,EOLR_ls_R_gridScaled_4_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_2_NB,,,EOLR_ls_R_gridScaled_5_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_2_NB,,,EOLR_ls_R_gridScaled_6_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_2_NB,,,EOLR_ls_R_gridScaled_7_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_2_NB,,,EOLR_ls_R_gridScaled_8_2_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_3_NB,,,EOLR_ls_R_gridScaled_0_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_3_NB,,,EOLR_ls_R_gridScaled_1_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_3_NB,,,EOLR_ls_R_gridScaled_2_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_3_NB,,,EOLR_ls_R_gridScaled_3_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_3_NB,,,EOLR_ls_R_gridScaled_4_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_3_NB,,,EOLR_ls_R_gridScaled_5_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_3_NB,,,EOLR_ls_R_gridScaled_6_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_3_NB,,,EOLR_ls_R_gridScaled_7_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_3_NB,,,EOLR_ls_R_gridScaled_8_3_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_4_NB,,,EOLR_ls_R_gridScaled_0_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_4_NB,,,EOLR_ls_R_gridScaled_1_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_4_NB,,,EOLR_ls_R_gridScaled_2_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_4_NB,,,EOLR_ls_R_gridScaled_3_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_4_NB,,,EOLR_ls_R_gridScaled_4_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_4_NB,,,EOLR_ls_R_gridScaled_5_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_4_NB,,,EOLR_ls_R_gridScaled_6_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_4_NB,,,EOLR_ls_R_gridScaled_7_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_4_NB,,,EOLR_ls_R_gridScaled_8_4_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_5_NB,,,EOLR_ls_R_gridScaled_0_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_5_NB,,,EOLR_ls_R_gridScaled_1_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_5_NB,,,EOLR_ls_R_gridScaled_2_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_5_NB,,,EOLR_ls_R_gridScaled_3_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_5_NB,,,EOLR_ls_R_gridScaled_4_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_5_NB,,,EOLR_ls_R_gridScaled_5_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_5_NB,,,EOLR_ls_R_gridScaled_6_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_5_NB,,,EOLR_ls_R_gridScaled_7_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_5_NB,,,EOLR_ls_R_gridScaled_8_5_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_6_NB,,,EOLR_ls_R_gridScaled_0_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_6_NB,,,EOLR_ls_R_gridScaled_1_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_6_NB,,,EOLR_ls_R_gridScaled_2_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_6_NB,,,EOLR_ls_R_gridScaled_3_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_6_NB,,,EOLR_ls_R_gridScaled_4_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_6_NB,,,EOLR_ls_R_gridScaled_5_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_6_NB,,,EOLR_ls_R_gridScaled_6_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_6_NB,,,EOLR_ls_R_gridScaled_7_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_6_NB,,,EOLR_ls_R_gridScaled_8_6_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_7_NB,,,EOLR_ls_R_gridScaled_0_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_7_NB,,,EOLR_ls_R_gridScaled_1_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_7_NB,,,EOLR_ls_R_gridScaled_2_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_7_NB,,,EOLR_ls_R_gridScaled_3_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_7_NB,,,EOLR_ls_R_gridScaled_4_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_7_NB,,,EOLR_ls_R_gridScaled_5_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_7_NB,,,EOLR_ls_R_gridScaled_6_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_7_NB,,,EOLR_ls_R_gridScaled_7_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_7_NB,,,EOLR_ls_R_gridScaled_8_7_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_0_8_NB,,,EOLR_ls_R_gridScaled_0_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_1_8_NB,,,EOLR_ls_R_gridScaled_1_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_2_8_NB,,,EOLR_ls_R_gridScaled_2_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_3_8_NB,,,EOLR_ls_R_gridScaled_3_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_4_8_NB,,,EOLR_ls_R_gridScaled_4_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_5_8_NB,,,EOLR_ls_R_gridScaled_5_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_6_8_NB,,,EOLR_ls_R_gridScaled_6_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_7_8_NB,,,EOLR_ls_R_gridScaled_7_8_NB,Rx,None,None,TRUE
EOLR_ls_R_gridScaled_8_8_NB,,,EOLR_ls_R_gridScaled_8_8_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_0_0_NB,,,EOLR_ls_Gr_gridScaled_0_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_1_0_NB,,,EOLR_ls_Gr_gridScaled_1_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_2_0_NB,,,EOLR_ls_Gr_gridScaled_2_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_3_0_NB,,,EOLR_ls_Gr_gridScaled_3_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_4_0_NB,,,EOLR_ls_Gr_gridScaled_4_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_5_0_NB,,,EOLR_ls_Gr_gridScaled_5_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_6_0_NB,,,EOLR_ls_Gr_gridScaled_6_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_7_0_NB,,,EOLR_ls_Gr_gridScaled_7_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_8_0_NB,,,EOLR_ls_Gr_gridScaled_8_0_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_0_1_NB,,,EOLR_ls_Gr_gridScaled_0_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_1_1_NB,,,EOLR_ls_Gr_gridScaled_1_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_2_1_NB,,,EOLR_ls_Gr_gridScaled_2_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_3_1_NB,,,EOLR_ls_Gr_gridScaled_3_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_4_1_NB,,,EOLR_ls_Gr_gridScaled_4_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_5_1_NB,,,EOLR_ls_Gr_gridScaled_5_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_6_1_NB,,,EOLR_ls_Gr_gridScaled_6_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_7_1_NB,,,EOLR_ls_Gr_gridScaled_7_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_8_1_NB,,,EOLR_ls_Gr_gridScaled_8_1_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_0_2_NB,,,EOLR_ls_Gr_gridScaled_0_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_1_2_NB,,,EOLR_ls_Gr_gridScaled_1_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_2_2_NB,,,EOLR_ls_Gr_gridScaled_2_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_3_2_NB,,,EOLR_ls_Gr_gridScaled_3_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_4_2_NB,,,EOLR_ls_Gr_gridScaled_4_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_5_2_NB,,,EOLR_ls_Gr_gridScaled_5_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_6_2_NB,,,EOLR_ls_Gr_gridScaled_6_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_7_2_NB,,,EOLR_ls_Gr_gridScaled_7_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_8_2_NB,,,EOLR_ls_Gr_gridScaled_8_2_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_0_3_NB,,,EOLR_ls_Gr_gridScaled_0_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_1_3_NB,,,EOLR_ls_Gr_gridScaled_1_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_2_3_NB,,,EOLR_ls_Gr_gridScaled_2_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_3_3_NB,,,EOLR_ls_Gr_gridScaled_3_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_4_3_NB,,,EOLR_ls_Gr_gridScaled_4_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_5_3_NB,,,EOLR_ls_Gr_gridScaled_5_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_6_3_NB,,,EOLR_ls_Gr_gridScaled_6_3_NB,Rx,None,None,TRUE
EOLR_ls_Gr_gridScaled_7_3_NB,,,EOLR_ls_Gr_gridScaled_7_3_NB,Rx,None,None,TRUE
