Time,Station,Type,Login_Mode,Operator,Tact_Time(Sec),LotNum,Barcode,VCMID,SensorID,FPCBID,SIte_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Pass_Count,Fail_Count,Total,Result,CODE,Para,ERROR,Site_1_Result_code,Site_2_Result_code,Site_3_Result_code,Site_4_Result_code,Site_5_Result_code,Site_6_Result_code,Site_7_Result_code,Site_8_Result_code,Site_9_Result_code,Site_1_Result_name,Site_2_Result_name,Site_3_Result_name,Site_4_Result_name,Site_5_Result_name,Site_6_Result_name,Site_7_Result_name,Site_8_Result_name,Site_9_Result_name,SWversion_site1,SWversion_site2,SWversion_site3,SWversion_site4,SWversion_site5,SWversion_site6,SWversion_site7,SWversion_site8,SWversion_site9,SWversion_Matching,Site_1_ReInsp,Site_2_ReInsp,Site_3_ReInsp,Site_4_ReInsp,Site_5_ReInsp,Site_6_ReInsp,Site_7_ReInsp,Site_8_ReInsp,Site_9_ReInsp,Insp_Mode,Site_1_LastCode,Site_2_LastCode,Site_3_LastCode,Site_4_LastCode,Site_5_LastCode,Site_6_LastCode,Site_7_LastCode,Site_8_LastCode,Site_9_LastCode,Site_1_LastTime,Site_2_LastTime,Site_3_LastTime,Site_4_LastTime,Site_5_LastTime,Site_6_LastTime,Site_7_LastTime,Site_8_LastTime,Site_9_LastTime,A_LIGHT_AE_TIME,A_REFERENCE,D_LIGHT_AE_TIME,D_REFERENCE,A_COLOR_RG,A_COLOR_RG_REF,A_COLOR_BG,A_COLOR_BG_REF,D_COLOR_RG,D_COLOR_RG_REF,D_COLOR_BG,D_COLOR_BG_REF,GAIN_B1,GAIN_B1_REF,GAIN_B2,GAIN_B2_REF,GAIN_H1,GAIN_H1_REF,GAIN_H2,GAIN_H2_REF,EM_H1_6,EM_H1_6_REF,EM_H1_7,EM_H1_7_REF,EM_H1_8,EM_H1_8_REF,EM_H1_9,EM_H1_9_REF,EM_H1_10,EM_H1_10_REF,EM_H2_2,EM_H2_2_REF,EM_H2_3,EM_H2_3_REF,EM_H2_4,EM_H2_4_REF,EM_H2_5,EM_H2_5_REF,EM_H2_11,EM_H2_11_REF,EM_H2_12,EM_H2_12_REF,SOCKET_UP,SOCKET_DOWN,SOCKET_OPEN,SOCKET_CLOSE,SW_VERSION,PBS_VERSION
'2021-06-13 03:06:39.244,KCMCT5241H,R04A,OP,±è¿ø´ö,517.50,GGY733AM6B01,DN81246F6QCH1HW1T,AZ3B1471568MB1A1A431034104,0ace02080586,THA121304Q306MWAZ,0.00,21.75,21.32,0.00,19.66,21.15,20.45,20.36,17.72,9,24,33,FAIL,467,7,FPDC DLL,-1,1,1,-1,1,1,1,1,467,-,PASS,PASS,-,PASS,PASS,PASS,PASS,FPDC DLL,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.811,0.816,0.278,0.275,0.476,0.478,0.529,0.522,9.179,9.182,9.049,9.141,7.892,8.484,10.153,9.657,0.957,0.949,0.951,0.952,0.947,0.951,0.947,0.951,0.000,0.000,0.959,0.950,0.952,0.953,0.944,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.765,0.640,1.232,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 03:07:02.367,KCMCT5241H,R04A,OP,±è¿ø´ö,23.26,GGY733AM6B01,DN81246F6QFH1HW1Q,AZ3B147125G5B1A18736022002,0ace02080052,THA12130F1K06MWA7,0.00,21.34,22.15,0.00,17.72,21.25,20.92,20.37,20.83,10,24,34,PASS,1,5,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.812,0.816,0.277,0.275,0.472,0.478,0.531,0.522,8.860,9.180,9.277,9.101,7.646,8.485,10.105,9.603,0.946,0.948,0.951,0.952,0.955,0.951,0.945,0.951,0.000,0.000,0.955,0.950,0.955,0.953,0.950,0.949,0.950,0.949,0.000,0.000,0.000,0.000,0.765,0.655,1.170,0.842,1.4.1.54,PBS_20.200424
'2021-06-13 03:07:25.305,KCMCT5241H,R04A,OP,±è¿ø´ö,23.18,GGY733AM6B01,DN81246F6QVH1HW1A,AZ3B147125GMB1A19836112121,0ace02080985,THA1213075U06MWAU,0.00,20.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,25,35,FAIL,253,3,VCM Calibration,-1,253,0,-1,0,0,0,0,0,-,VCM Calibration,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.179,0.000,9.062,0.000,8.486,0.000,9.548,0.000,0.949,0.000,0.952,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.780,0.671,1.123,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 03:07:49.100,KCMCT5241H,R04A,OP,±è¿ø´ö,23.68,GGY733AM6B01,DN81246F6QGH1HW1P,MB211332A18P21A1B121116007,0ace29100758,THA121300M706MWA8,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,26,36,FAIL,32,2,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.159,0.000,9.057,0.000,8.485,0.000,9.429,0.000,0.949,0.000,0.953,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.764,0.624,1.233,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 03:08:14.482,KCMCT5241H,R04A,OP,±è¿ø´ö,24.43,GGY733AM6B01,DN81246F6QHH1HW1N,AZ3B1471379BB3A1A730028115,0ace02081055,THA121303XU06MWAN,0.00,21.37,22.36,0.00,19.56,21.18,20.69,20.41,20.41,11,25,36,PASS,1,8,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.814,0.816,0.277,0.275,0.477,0.478,0.527,0.522,9.139,9.179,9.227,9.062,8.516,8.486,8.944,9.548,0.946,0.949,0.953,0.952,0.956,0.951,0.952,0.951,0.000,0.000,0.950,0.950,0.950,0.953,0.947,0.949,0.947,0.949,0.000,0.000,0.000,0.000,0.765,0.686,1.279,0.843,1.4.1.54,PBS_20.200424
'2021-06-13 03:08:36.157,KCMCT5241H,R04A,OP,±è¿ø´ö,22.75,GGY733AM6B01,DN81246F6QEH1HW1R,AZ3B1471568GB1A19628114115,0ace02090116,THA121300PB06MWAY,0.00,21.68,21.34,0.00,19.33,21.22,20.83,20.36,18.14,11,26,37,FAIL,183,6,Dark Shade,-1,1,1,-1,1,1,1,1,183,-,PASS,PASS,-,PASS,PASS,PASS,PASS,Dark Shade,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.818,0.816,0.277,0.275,0.476,0.478,0.529,0.522,9.282,9.159,9.433,9.057,8.486,8.501,10.169,9.429,0.953,0.949,0.953,0.953,0.951,0.951,0.949,0.951,0.000,0.000,0.944,0.950,0.952,0.953,0.955,0.949,0.949,0.949,0.000,0.000,0.000,0.000,0.764,0.639,1.139,0.983,1.4.1.54,PBS_20.200424
'2021-06-13 03:08:59.104,KCMCT5241H,R04A,OP,±è¿ø´ö,22.99,GGY733AM6B01,DN81246F6QJH1HW1M,AZ3B147105FFB1A19034026105,0ace02081037,THA12130F0406MWAR,0.00,21.36,21.84,0.00,17.61,21.18,20.92,20.34,20.30,12,26,38,PASS,1,4,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.813,0.816,0.277,0.275,0.476,0.478,0.528,0.522,8.944,9.159,9.052,9.057,9.016,8.501,9.548,9.429,0.945,0.949,0.951,0.953,0.951,0.951,0.949,0.951,0.000,0.000,0.960,0.950,0.954,0.953,0.950,0.949,0.951,0.949,0.000,0.000,0.000,0.000,0.764,0.718,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 03:09:22.545,KCMCT5241H,R04A,OP,±è¿ø´ö,23.32,GGY733AM6B01,DN81246F6QMH1HW1J,AZ3B147136C4B1A19730028008,0ace02090215,THA12130HRA06MWAA,0.00,21.26,21.76,0.00,17.85,21.12,20.90,20.23,16.72,12,27,39,FAIL,467,1,FPDC DLL,-1,1,1,-1,1,1,1,1,467,-,PASS,PASS,-,PASS,PASS,PASS,PASS,FPDC DLL,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.817,0.816,0.278,0.275,0.478,0.478,0.530,0.522,8.665,9.179,8.681,9.062,8.637,8.486,8.421,9.310,0.951,0.949,0.956,0.953,0.960,0.951,0.952,0.951,0.000,0.000,0.952,0.950,0.955,0.953,0.950,0.949,0.952,0.949,0.000,0.000,0.000,0.000,0.780,0.452,1.170,0.827,1.4.1.54,PBS_20.200424
'2021-06-13 03:09:46.827,KCMCT5241H,R04A,OP,±è¿ø´ö,23.99,GGY733AM6B01,DN81246F6RKH1HW1H,AZ3B147105G8B1A19133074005,0ace02081148,THA12130DF306MWAH,0.00,21.76,22.25,0.00,18.88,21.22,20.53,20.50,18.14,12,28,40,FAIL,467,7,FPDC DLL,-1,1,1,-1,1,1,1,1,467,-,PASS,PASS,-,PASS,PASS,PASS,PASS,FPDC DLL,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.809,0.816,0.276,0.275,0.471,0.478,0.528,0.522,8.770,9.180,8.655,9.073,8.450,8.485,7.425,9.429,0.951,0.949,0.955,0.953,0.954,0.951,0.953,0.951,0.000,0.000,0.956,0.950,0.956,0.953,0.956,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.765,0.640,1.185,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 03:10:09.934,KCMCT5241H,R04A,OP,±è¿ø´ö,23.21,GGY733AM6B01,DN81246F6RHH1HW1K,AZ3B147105G0B1A1A132041113,0ace02080593,THA12130DDQ06MWA2,0.00,21.47,23.01,0.00,19.11,21.12,20.76,20.42,20.59,13,27,40,PASS,1,5,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6689,6689,7323,7323,0.815,0.816,0.278,0.275,0.475,0.478,0.532,0.522,9.416,9.180,9.404,9.073,8.565,8.485,10.202,9.429,0.945,0.949,0.949,0.953,0.950,0.951,0.951,0.951,0.000,0.000,0.946,0.950,0.951,0.953,0.949,0.949,0.947,0.949,0.000,0.000,0.000,0.000,0.765,0.655,1.185,0.843,1.4.1.54,PBS_20.200424
