Time,Station,Type,Login_Mode,Operator,Tact_Time(Sec),LotNum,Barcode,VCMID,SensorID,FPCBID,SIte_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Pass_Count,Fail_Count,Total,Result,CODE,Para,ERROR,Site_1_Result_code,Site_2_Result_code,Site_3_Result_code,Site_4_Result_code,Site_5_Result_code,Site_6_Result_code,Site_7_Result_code,Site_8_Result_code,Site_9_Result_code,Site_1_Result_name,Site_2_Result_name,Site_3_Result_name,Site_4_Result_name,Site_5_Result_name,Site_6_Result_name,Site_7_Result_name,Site_8_Result_name,Site_9_Result_name,SWversion_site1,SWversion_site2,SWversion_site3,SWversion_site4,SWversion_site5,SWversion_site6,SWversion_site7,SWversion_site8,SWversion_site9,SWversion_Matching,Site_1_ReInsp,Site_2_ReInsp,Site_3_ReInsp,Site_4_ReInsp,Site_5_ReInsp,Site_6_ReInsp,Site_7_ReInsp,Site_8_ReInsp,Site_9_ReInsp,Insp_Mode,Site_1_LastCode,Site_2_LastCode,Site_3_LastCode,Site_4_LastCode,Site_5_LastCode,Site_6_LastCode,Site_7_LastCode,Site_8_LastCode,Site_9_LastCode,Site_1_LastTime,Site_2_LastTime,Site_3_LastTime,Site_4_LastTime,Site_5_LastTime,Site_6_LastTime,Site_7_LastTime,Site_8_LastTime,Site_9_LastTime,A_LIGHT_AE_TIME,A_REFERENCE,D_LIGHT_AE_TIME,D_REFERENCE,A_COLOR_RG,A_COLOR_RG_REF,A_COLOR_BG,A_COLOR_BG_REF,D_COLOR_RG,D_COLOR_RG_REF,D_COLOR_BG,D_COLOR_BG_REF,GAIN_B1,GAIN_B1_REF,GAIN_B2,GAIN_B2_REF,GAIN_H1,GAIN_H1_REF,GAIN_H2,GAIN_H2_REF,EM_H1_6,EM_H1_6_REF,EM_H1_7,EM_H1_7_REF,EM_H1_8,EM_H1_8_REF,EM_H1_9,EM_H1_9_REF,EM_H1_10,EM_H1_10_REF,EM_H2_2,EM_H2_2_REF,EM_H2_3,EM_H2_3_REF,EM_H2_4,EM_H2_4_REF,EM_H2_5,EM_H2_5_REF,EM_H2_11,EM_H2_11_REF,EM_H2_12,EM_H2_12_REF,SOCKET_UP,SOCKET_DOWN,SOCKET_OPEN,SOCKET_CLOSE,SW_VERSION,PBS_VERSION
'2021-06-13 04:00:08.341,KCMCT5241H,R04A,OP,±è¿ø´ö,23.26,GGY733AM6B01,DN81246F6T3H1HW1T,AZ3B147125GKB1A19232056000,0ace02080633,THA12130HNF06MWAE,0.00,21.76,22.17,0.00,19.50,0.00,0.00,0.00,0.00,82,46,128,FAIL,451,1,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.449,9.180,9.288,9.073,9.054,8.485,7.953,9.429,0.949,0.949,0.948,0.953,0.948,0.951,0.950,0.951,0.000,0.000,0.947,0.950,0.954,0.953,0.943,0.949,0.944,0.949,0.000,0.000,0.000,0.000,0.780,0.468,1.170,0.812,1.4.1.54,PBS_20.200424
'2021-06-13 04:00:32.136,KCMCT5241H,R04A,OP,±è¿ø´ö,23.56,GGY733AM6B01,DN81246F6TKH1HW1B,AZ3B1471379JB3A1A733012124,0ace02080062,THA121304Q506MWAX,0.00,21.45,21.79,0.00,19.08,21.20,20.61,20.16,20.33,83,46,129,PASS,1,7,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6560,6689,7252,7323,0.812,0.816,0.277,0.275,0.476,0.478,0.526,0.522,8.590,9.180,8.684,9.073,8.388,8.485,8.328,9.429,0.955,0.949,0.954,0.953,0.948,0.951,0.954,0.951,0.000,0.000,0.954,0.950,0.954,0.953,0.952,0.949,0.951,0.949,0.000,0.000,0.000,0.000,0.764,0.640,1.186,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 04:00:55.489,KCMCT5241H,R04A,OP,±è¿ø´ö,23.46,GGY733AM6B01,DN81246F6STH1HW16,AZ3B147115EDB1A19632022130,0ace02080130,THA1213077U06MWAN,0.00,20.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,47,130,FAIL,253,5,VCM Calibration,-1,253,0,-1,0,0,0,0,0,-,VCM Calibration,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.180,0.000,9.073,0.000,8.485,0.000,9.429,0.000,0.949,0.000,0.953,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.764,0.655,1.139,0.842,1.4.1.54,PBS_20.200424
'2021-06-13 04:01:18.869,KCMCT5241H,R04A,OP,±è¿ø´ö,23.57,GGY733AM6B01,DN81246F6THH1HW1D,AZ3B1511E04PB3A19631034001,0ace02080106,THA1213077Z06MWAH,0.00,21.65,21.28,0.00,19.28,21.14,21.04,20.41,20.36,84,47,131,PASS,1,3,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6560,6689,7252,7323,0.811,0.816,0.281,0.275,0.477,0.478,0.531,0.522,9.398,9.180,9.289,9.073,8.476,8.485,7.805,9.429,0.948,0.949,0.949,0.953,0.946,0.951,0.950,0.951,0.000,0.000,0.949,0.950,0.951,0.953,0.946,0.949,0.946,0.949,0.000,0.000,0.000,0.000,0.765,0.655,1.123,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 04:01:42.360,KCMCT5241H,R04A,OP,±è¿ø´ö,23.42,GGY733AM6B01,DN81246F6U8H1HW1K,AZ3B147136AFB1A1A729016002,0ace02081133,THA121300MF06MWA0,0.00,22.60,22.36,0.00,18.41,21.17,21.22,20.78,20.97,85,46,131,PASS,1,2,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6802,6689,7554,7323,0.812,0.816,0.272,0.275,0.474,0.478,0.518,0.522,9.250,9.180,9.178,9.073,8.658,8.485,7.500,9.429,0.952,0.949,0.948,0.953,0.947,0.951,0.952,0.951,0.000,0.000,0.951,0.950,0.954,0.953,0.952,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.764,0.624,1.233,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 04:02:07.181,KCMCT5241H,R04A,OP,±è¿ø´ö,23.82,GGY733AM6B01,DN81246F6U7H1HW1L,AZ3B1511D053B3A1A830015017,0ace02080480,THA121304R406MWAV,0.00,21.43,21.89,0.00,19.45,21.12,21.03,20.25,20.33,86,46,132,PASS,1,8,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6802,6689,7554,7323,0.808,0.816,0.276,0.275,0.472,0.478,0.525,0.522,9.517,9.180,9.450,9.073,7.488,8.485,9.149,9.429,0.955,0.949,0.950,0.953,0.952,0.951,0.953,0.951,0.000,0.000,0.945,0.950,0.947,0.953,0.949,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.764,0.671,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 04:02:28.920,KCMCT5241H,R04A,OP,±è¿ø´ö,22.81,GGY733AM6B01,DN81246F6TUH1HW12,AZ3B1471466LB1A19931123023,0ace02090134,THA1213076V06MWAQ,0.00,21.43,22.12,0.00,18.61,21.14,21.26,20.84,20.72,87,46,133,PASS,1,6,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6569,6689,7273,7323,0.813,0.816,0.279,0.275,0.477,0.478,0.531,0.522,9.440,9.180,9.636,9.073,8.454,8.485,8.790,9.429,0.947,0.949,0.950,0.953,0.946,0.951,0.944,0.951,0.000,0.000,0.946,0.950,0.950,0.953,0.950,0.949,0.947,0.949,0.000,0.000,0.000,0.000,0.764,0.639,1.139,0.968,1.4.1.54,PBS_20.200424
'2021-06-13 04:02:53.044,KCMCT5241H,R04A,OP,±è¿ø´ö,24.18,GGY733AM6B01,DN81246F6TWH1HW10,AZ3B147125G2B1A19031021022,0ace02081095,THA121304Q606MWAW,0.00,21.34,22.03,0.00,18.78,21.12,20.59,20.31,19.28,88,46,134,PASS,1,4,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6569,6689,7273,7323,0.808,0.816,0.277,0.275,0.473,0.478,0.527,0.522,9.494,9.180,9.511,9.073,7.700,8.485,9.147,9.429,0.944,0.949,0.947,0.953,0.949,0.951,0.948,0.951,0.000,0.000,0.952,0.950,0.950,0.953,0.947,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.764,0.717,1.280,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 04:03:16.878,KCMCT5241H,R04A,OP,±è¿ø´ö,23.71,GGY733AM6B01,DN81246F6TJH1HW1C,AZ3B14715691B1A19831009014,0ace02090159,THA1213075J06MWA4,0.00,21.36,22.15,0.00,19.52,21.15,20.72,20.30,17.89,88,47,135,FAIL,172,1,LCB,-1,1,1,-1,1,1,1,1,172,-,PASS,PASS,-,PASS,PASS,PASS,PASS,LCB,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6569,6689,7273,7323,0.815,0.816,0.279,0.275,0.477,0.478,0.531,0.522,9.737,9.180,9.980,9.073,7.386,8.485,9.295,9.429,0.946,0.949,0.947,0.953,0.945,0.951,0.944,0.951,0.000,0.000,0.945,0.950,0.950,0.953,0.944,0.949,0.947,0.949,0.000,0.000,0.000,0.000,0.764,0.468,1.186,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 04:03:44.844,KCMCT5241H,R04A,OP,±è¿ø´ö,27.67,GGY733AM6B01,DN81246F6TLH1HW1A,AZ3B147105G6B1A19837058124,0ace02080898,THA121304Q806MWAU,0.00,21.75,22.00,0.00,19.70,21.20,21.11,20.17,20.65,89,47,136,PASS,1,7,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6569,6689,7273,7323,0.814,0.816,0.278,0.275,0.476,0.478,0.530,0.522,9.194,9.180,8.969,9.073,9.252,8.485,9.924,9.429,0.946,0.949,0.951,0.953,0.949,0.951,0.951,0.951,0.000,0.000,0.952,0.950,0.951,0.953,0.945,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.764,0.639,1.186,0.858,1.4.1.54,PBS_20.200424
