Time,Station,Type,Login_Mode,Operator,Tact_Time(Sec),LotNum,Barcode,VCMID,SensorID,FPCBID,SIte_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Pass_Count,Fail_Count,Total,Result,CODE,Para,ERROR,Site_1_Result_code,Site_2_Result_code,Site_3_Result_code,Site_4_Result_code,Site_5_Result_code,Site_6_Result_code,Site_7_Result_code,Site_8_Result_code,Site_9_Result_code,Site_1_Result_name,Site_2_Result_name,Site_3_Result_name,Site_4_Result_name,Site_5_Result_name,Site_6_Result_name,Site_7_Result_name,Site_8_Result_name,Site_9_Result_name,SWversion_site1,SWversion_site2,SWversion_site3,SWversion_site4,SWversion_site5,SWversion_site6,SWversion_site7,SWversion_site8,SWversion_site9,SWversion_Matching,Site_1_ReInsp,Site_2_ReInsp,Site_3_ReInsp,Site_4_ReInsp,Site_5_ReInsp,Site_6_ReInsp,Site_7_ReInsp,Site_8_ReInsp,Site_9_ReInsp,Insp_Mode,Site_1_LastCode,Site_2_LastCode,Site_3_LastCode,Site_4_LastCode,Site_5_LastCode,Site_6_LastCode,Site_7_LastCode,Site_8_LastCode,Site_9_LastCode,Site_1_LastTime,Site_2_LastTime,Site_3_LastTime,Site_4_LastTime,Site_5_LastTime,Site_6_LastTime,Site_7_LastTime,Site_8_LastTime,Site_9_LastTime,A_LIGHT_AE_TIME,A_REFERENCE,D_LIGHT_AE_TIME,D_REFERENCE,A_COLOR_RG,A_COLOR_RG_REF,A_COLOR_BG,A_COLOR_BG_REF,D_COLOR_RG,D_COLOR_RG_REF,D_COLOR_BG,D_COLOR_BG_REF,GAIN_B1,GAIN_B1_REF,GAIN_B2,GAIN_B2_REF,GAIN_H1,GAIN_H1_REF,GAIN_H2,GAIN_H2_REF,EM_H1_6,EM_H1_6_REF,EM_H1_7,EM_H1_7_REF,EM_H1_8,EM_H1_8_REF,EM_H1_9,EM_H1_9_REF,EM_H1_10,EM_H1_10_REF,EM_H2_2,EM_H2_2_REF,EM_H2_3,EM_H2_3_REF,EM_H2_4,EM_H2_4_REF,EM_H2_5,EM_H2_5_REF,EM_H2_11,EM_H2_11_REF,EM_H2_12,EM_H2_12_REF,SOCKET_UP,SOCKET_DOWN,SOCKET_OPEN,SOCKET_CLOSE,SW_VERSION,PBS_VERSION
'2021-06-13 06:58:16.501,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,10213.93,GGY733AM6B01,DN81246F6UGH1HW1B,AZ3B147125FBB1A19133020115,0ace02080565,THA121304Q406MWAY,0.00,21.43,22.39,0.00,19.80,0.00,0.00,0.00,0.00,97,51,148,FAIL,451,8,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.508,9.180,9.510,9.073,8.948,8.485,9.819,9.429,0.942,0.949,0.946,0.953,0.946,0.951,0.948,0.951,0.000,0.000,0.944,0.950,0.948,0.953,0.947,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.765,0.686,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 06:58:45.523,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,30.03,GGY733AM6B01,DN81246F6U9H1HW1J,AZ3B1511D04KB3A1B132112040,0ace02080270,THA121301CS06MWAF,0.00,21.45,21.54,0.00,19.39,21.17,21.17,20.11,20.73,98,51,149,PASS,1,6,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6569,6689,7273,7323,0.817,0.816,0.278,0.275,0.477,0.478,0.530,0.522,7.747,9.180,7.902,9.073,9.259,8.485,9.105,9.429,0.958,0.949,0.960,0.953,0.961,0.951,0.962,0.951,0.000,0.000,0.960,0.950,0.959,0.953,0.959,0.949,0.955,0.949,0.000,0.000,0.000,0.000,0.764,0.624,1.186,0.952,1.4.1.54,PBS_20.200424
'2021-06-13 06:59:14.351,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,28.92,GGY733AM6B01,DN81246F6UAH1HW1H,AZ1B14702003A7A1A640015004,0ace02080910,THA121300MD06MWA2,0.00,20.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98,51,149,FAIL,253,4,VCM Calibration,-1,253,0,-1,0,0,0,0,0,-,VCM Calibration,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.180,0.000,9.073,0.000,8.485,0.000,9.429,0.000,0.949,0.000,0.953,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.765,0.717,1.342,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 06:59:43.298,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,28.83,GGY733AM6B01,DN81246F6UBH1HW1G,AZ3B147105F0B1A1A034037102,0ace02081119,THA12130HQV06MWAU,0.00,21.39,22.17,0.00,19.70,0.00,0.00,0.00,0.00,98,52,150,FAIL,451,1,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,8.697,9.180,8.637,9.073,7.941,8.485,9.076,9.429,0.943,0.949,0.954,0.953,0.953,0.951,0.955,0.951,0.000,0.000,0.955,0.950,0.953,0.953,0.952,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.780,0.452,1.170,0.812,1.4.1.54,PBS_20.200424
